timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/11/24 01:57:30.198, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:57:35.200, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:57:40.201, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:57:45.202, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12211 MiB, 1 MiB
2023/11/24 01:57:50.203, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:57:55.204, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:00.205, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:05.206, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:10.207, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:15.208, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:20.210, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12208 MiB, 4 MiB
2023/11/24 01:58:25.211, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12112 MiB, 100 MiB
2023/11/24 01:58:30.212, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 12056 MiB, 156 MiB
2023/11/24 01:58:35.213, NVIDIA GeForce GTX TITAN X, 2 %, 0 %, 12212 MiB, 11875 MiB, 337 MiB
2023/11/24 01:58:40.214, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:58:45.215, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:58:50.216, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:58:55.217, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 10442 MiB, 1770 MiB
2023/11/24 01:59:00.218, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 9995 MiB, 2217 MiB
2023/11/24 01:59:05.219, NVIDIA GeForce GTX TITAN X, 38 %, 8 %, 12212 MiB, 9145 MiB, 3067 MiB
2023/11/24 01:59:10.220, NVIDIA GeForce GTX TITAN X, 76 %, 22 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:15.221, NVIDIA GeForce GTX TITAN X, 59 %, 14 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:20.222, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 8081 MiB, 4131 MiB
2023/11/24 01:59:25.223, NVIDIA GeForce GTX TITAN X, 5 %, 2 %, 12212 MiB, 8079 MiB, 4133 MiB
2023/11/24 01:59:30.224, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 8069 MiB, 4143 MiB
2023/11/24 01:59:35.225, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 8029 MiB, 4183 MiB
2023/11/24 01:59:40.226, NVIDIA GeForce GTX TITAN X, 29 %, 11 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 01:59:45.227, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 01:59:50.228, NVIDIA GeForce GTX TITAN X, 50 %, 17 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 01:59:55.229, NVIDIA GeForce GTX TITAN X, 0 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:00.230, NVIDIA GeForce GTX TITAN X, 32 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:05.231, NVIDIA GeForce GTX TITAN X, 59 %, 29 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:10.232, NVIDIA GeForce GTX TITAN X, 72 %, 15 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:15.233, NVIDIA GeForce GTX TITAN X, 8 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:20.234, NVIDIA GeForce GTX TITAN X, 7 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:25.235, NVIDIA GeForce GTX TITAN X, 17 %, 9 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:30.236, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:35.236, NVIDIA GeForce GTX TITAN X, 80 %, 31 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:40.237, NVIDIA GeForce GTX TITAN X, 70 %, 15 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:45.238, NVIDIA GeForce GTX TITAN X, 8 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:50.239, NVIDIA GeForce GTX TITAN X, 31 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:00:55.240, NVIDIA GeForce GTX TITAN X, 49 %, 19 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:00.241, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:05.242, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:10.243, NVIDIA GeForce GTX TITAN X, 74 %, 52 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:15.244, NVIDIA GeForce GTX TITAN X, 31 %, 7 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:20.245, NVIDIA GeForce GTX TITAN X, 75 %, 17 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:25.246, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:30.247, NVIDIA GeForce GTX TITAN X, 32 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:35.248, NVIDIA GeForce GTX TITAN X, 91 %, 13 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:40.249, NVIDIA GeForce GTX TITAN X, 71 %, 16 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:45.250, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:50.250, NVIDIA GeForce GTX TITAN X, 24 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:01:55.251, NVIDIA GeForce GTX TITAN X, 6 %, 1 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:00.252, NVIDIA GeForce GTX TITAN X, 68 %, 29 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:05.253, NVIDIA GeForce GTX TITAN X, 64 %, 9 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:10.254, NVIDIA GeForce GTX TITAN X, 8 %, 3 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:15.255, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:20.256, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:25.257, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:30.257, NVIDIA GeForce GTX TITAN X, 68 %, 25 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:35.258, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:40.259, NVIDIA GeForce GTX TITAN X, 22 %, 9 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:45.260, NVIDIA GeForce GTX TITAN X, 4 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:50.261, NVIDIA GeForce GTX TITAN X, 30 %, 2 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:02:55.262, NVIDIA GeForce GTX TITAN X, 38 %, 11 %, 12212 MiB, 7785 MiB, 4427 MiB
2023/11/24 02:03:00.263, NVIDIA GeForce GTX TITAN X, 3 %, 0 %, 12212 MiB, 7785 MiB, 4427 MiB
